#{"t_start": 1787506617.0336988, "env_id": "Ant-v5"}
r,l,t
-15.520862,36,2.908574
-27.713853,18,2.937916
-23.99419,22,2.973826
-143.871556,125,3.176043
-1070.193723,1000,4.828941
-43.184861,19,4.861605
-58.283331,47,4.939013
-111.368006,118,5.134868
-71.341459,154,5.388892
-148.81961,103,5.558594
-65.251286,40,5.623865
-136.124584,117,5.814665
-39.02358,64,5.920455
-91.051155,98,6.080594
-24.777858,31,6.131614
-48.744793,62,7.371505
-68.948807,44,7.443368
-29.04037,23,7.481468
-16.327643,19,7.512971
-7.423506,23,7.550498
-8.231729,14,7.573502
-3.996735,9,7.588411
-16.855746,21,7.623009
-113.774824,103,7.794247
-21.638501,28,7.840694
-31.648059,40,7.910467
-145.182306,127,15.321364
-12.367548,15,15.34751
-156.892549,125,15.555984
-15.164922,15,15.581622
-30.984929,27,15.626566
-33.526022,27,15.671198
-23.814531,42,15.740839
-115.647322,89,15.888176
-12.335339,25,15.929542
-13.058909,39,15.994544
-12.680866,15,16.019378
-68.514419,44,16.092395
-31.440212,23,16.130336
2.048118,22,16.166654
-19.57567,26,16.210326
-53.881306,83,16.34775
-192.887265,126,16.555755
-6.99407,24,16.59592
-72.257526,110,16.77512
-8.855578,12,16.795313
-35.641115,24,16.834866
-14.215411,15,16.859443
-11.299262,14,16.882013
-39.714839,26,16.92453
-67.801243,115,17.113285
-1105.188735,1000,19.712802
-95.384264,91,19.864716
-5.30379,11,19.882813
-144.563671,156,20.142469
-47.818676,37,20.203136
-42.805903,47,20.281188
-112.37789,160,27.518821
-67.447481,60,27.623409
-52.414634,26,27.669565
-54.396039,82,27.809363
-8.914084,19,27.84164
-2.573954,18,27.871401
-7.694958,18,27.901435
-111.768834,53,27.99042
-15.261249,22,28.027063
-36.36401,33,28.08242
-12.81542,12,28.102817
-35.355543,67,28.21732
-43.3828,99,28.384817
-19.997848,14,28.408464
-103.079486,58,28.51431
-18.117645,15,28.541137
-76.880595,91,28.702066
-26.231748,28,28.751685
-6.60887,25,28.796289
-57.777362,43,28.87177
-17.826634,23,28.912208
-33.303644,41,28.982952
-65.253356,135,29.217591
-18.840973,44,29.293661
-43.616195,47,30.185794
-32.090484,35,30.244708
-70.267823,59,30.343791
-9.247167,10,30.360646
-88.216203,80,30.494338
-50.707262,43,30.566782
-19.900985,54,30.65691
-58.052479,58,30.752792
-42.510439,117,30.947968
-19.034467,17,30.976618
-117.775137,95,31.134414
-94.857173,125,31.342615
-77.647279,70,31.459514
-81.338076,53,31.548148
-17.514493,12,31.568283
-1059.795813,1000,40.167842
-23.612454,33,40.22298
-5.28828,11,40.241302
-34.932251,16,40.267877
-70.730647,78,40.3966
-22.237538,13,40.418084
-28.019712,33,40.472752
-169.810432,113,41.425076
-42.583316,35,41.482928
-44.216095,122,41.686573
-8.643398,13,41.708414
-6.490089,14,41.732172
-134.344973,101,41.900227
-13.402756,14,41.923892
-43.438879,53,42.01212
-100.852665,88,42.159431
-37.291257,29,42.207742
-36.731564,39,42.272507
-13.163762,12,42.292381
-31.544904,29,42.340852
-27.75074,29,42.388958
-40.934113,36,42.449555
-29.710141,44,42.523505
-40.936519,29,42.573089
-1010.678594,1000,44.256572
-42.408838,36,51.240325
-37.917257,35,51.299008
-59.942028,39,51.363216
-31.571378,37,51.424891
-13.549282,19,51.456289
-118.532629,118,52.41406
-21.127253,20,52.447804
-73.695571,77,52.575787
-15.419923,36,52.63554
-81.202947,76,52.762798
-9.314481,29,52.810976
-34.709235,23,52.849382
-98.548592,114,53.039598
-20.653625,16,53.067181
-105.120332,82,53.204408
-33.189074,25,53.245918
-33.535109,21,53.280867
-71.43092,127,53.492868
-4.54347,24,53.532722
-50.066623,121,53.733349
-102.176503,105,53.906254
-56.583936,35,53.963675
-11.388745,19,53.994719
-39.58649,75,54.119069
-90.923154,102,54.289148
-30.040938,77,54.417916
-102.775063,72,54.538476
-19.684021,23,54.576728
-11.418466,21,54.612006
-36.507931,54,54.702737
-955.691836,1000,64.193171
-26.824822,18,64.223145
-34.672273,25,64.264513
-27.66765,19,64.296058
-107.086784,61,64.398373
-42.967217,90,64.548284
-9.36014,22,64.58499
-13.416678,16,64.612202
-82.771355,75,64.737924
4.320934,26,64.781297
-69.472612,63,64.887567
-15.452541,13,64.909497
-45.896911,26,64.953262
-15.230394,18,64.98346
-63.148136,36,65.044708
-54.295314,72,65.164966
-37.042701,102,65.336699
-22.597362,22,65.373545
-4.411562,23,65.41296
-65.110515,47,65.49174
-11.754481,19,65.523592
-14.465813,14,65.546852
-69.634108,62,65.650716
-122.307067,83,65.787989
-9.174691,13,65.809911
-13.96438,15,65.835485
-243.420085,155,66.093869
-25.756916,30,66.143474
-47.871712,46,66.219513
-56.957292,72,66.338411
-29.366726,77,66.466088
-47.325056,36,66.525397
-46.036336,61,66.626903
-20.983425,13,66.648711
-23.754609,30,66.698915
-13.719489,14,66.722637
-9.391137,15,66.748072
-20.15282,15,66.772657
-15.160172,13,66.794136
-9.533706,30,66.844221
-36.388561,35,66.902109
-43.041776,39,66.967269
-148.148387,226,68.292927
-88.320793,98,68.457155
-9.72399,19,68.489079
-92.066135,84,68.629825
-42.598814,44,68.703675
-18.245625,19,68.735454
-26.265715,25,68.777134
-31.107787,24,68.817173
-34.315435,47,68.89604
-46.77394,59,68.994837
-10.836835,36,69.055136
-18.624259,56,75.966987
-8.784908,26,76.010324
-20.161214,46,76.086948
-11.030739,20,76.120492
-63.948369,57,76.216679
-107.538796,207,76.561235
-44.235771,66,76.670378
-11.288212,13,76.691951
-66.436048,98,76.854961
-19.814725,23,76.892882
-45.042803,27,76.937963
-21.515693,13,76.959655
-6.802436,29,77.008268
-56.462995,65,77.116513
-31.533087,15,77.144388
-21.184239,16,77.172604
-975.82475,1000,79.864063
-945.777346,1000,88.395676
-34.017694,85,88.539775
-68.651271,56,88.634167
-16.369172,27,88.67941
-70.467306,76,88.808791
-32.011415,29,88.857871
-947.40246,1000,91.513909
-17.78745,69,91.630836
-12.522528,12,91.650934
-34.316166,21,91.686298
-85.037676,57,91.782704
-915.658683,1000,100.317837
-29.843625,20,100.351002
-41.826638,35,100.408637
-13.48709,20,100.44155
-15.21208,31,100.493121
-21.233464,34,100.549174
-23.833553,17,100.577047
-22.920267,19,100.608402
-46.659305,75,100.733552
-25.397255,24,100.77526
-43.577155,35,101.786905
-16.840535,21,101.821275
-56.356439,65,101.929959
-6.291343,11,101.948159
9.503464,26,101.99126
-134.141041,120,102.192282
-43.369878,53,102.28063
-12.023003,8,102.293954
-10.771208,42,102.363918
-19.502873,16,102.390455
-19.317727,27,102.435282
-51.792848,35,102.494639
-26.594987,23,102.532743
-903.476552,1000,104.203489
-22.804277,23,104.241884
-18.25546,19,104.273361
-43.066206,36,104.333905
-43.227963,44,104.406775
-27.104266,24,104.44675
-33.699888,33,104.501569
-40.791407,41,104.569676
-11.951297,23,104.607821
-42.175508,83,104.746513
-924.317051,1000,113.389506
-25.200919,107,113.566741
-50.229708,36,113.627178
-29.145691,27,113.672203
-54.786598,41,113.741082
-44.009428,48,113.820923
-22.96664,33,113.876489
-11.603245,17,113.904834
-123.97352,95,114.063444
-10.252731,40,114.130045
-25.049398,17,114.158459
-17.787291,9,114.17341
-120.118716,172,114.461947
0.313099,11,114.480575
-23.500984,27,114.526022
-10.188818,21,114.561161
-16.276009,10,114.577975
-7.631886,16,114.604617
-18.759299,22,114.641827
-30.309674,27,114.686986
-64.646974,139,114.920599
-27.552845,42,114.991063
-28.694224,53,115.080608
-50.151299,42,115.151031
-134.051469,113,115.338937
-10.248984,12,115.359124
-39.701686,45,115.434309
-17.853454,40,115.501886
-82.051218,123,116.502276
-34.049994,20,116.535871
-37.774559,34,116.593067
-33.161007,40,116.659826
-8.093253,10,116.676834
-54.972067,25,116.718817
-38.121005,68,116.831652
-971.946539,1000,124.992027
-4.191635,10,125.009019
-46.268606,56,125.102789
8.501891,48,125.182942
-13.551747,51,125.26765
-51.213875,35,125.326014
-33.794538,26,125.369046
-16.965555,21,125.404348
-3.244165,15,125.429455
-75.971004,57,125.524175
-27.480976,28,125.570832
-18.922206,27,125.616467
-21.348362,35,125.674461
-16.511623,10,125.69101
-9.983432,16,125.717412
-36.214517,19,125.748646
-61.933393,63,125.852287
23.250096,26,125.895145
-41.293992,53,125.983161
-136.786324,202,127.091431
-52.628787,63,127.196528
-3.503258,12,127.217072
-8.785497,23,127.25543
-106.986943,87,127.401664
-37.55009,17,127.430354
-32.425626,76,127.558133
-56.063101,117,127.755435
-13.823747,17,127.784068
-41.750565,62,127.889422
-21.501462,80,128.024861
-889.08596,1000,135.65628
-20.506069,10,135.673729
-70.471733,44,135.748698
-0.115483,15,135.774277
-112.119934,72,135.896043
-169.252712,193,136.221857
-62.801942,53,136.309833
-10.988411,17,136.338497
-12.298763,13,136.36037
-21.136046,32,136.413746
-26.207361,27,137.417813
-31.300957,21,137.452035
-73.264479,56,137.545881
-10.142353,22,137.582662
-54.721631,72,137.702395
-43.457612,30,137.752774
-57.555755,76,137.879403
-9.512207,29,137.928202
-19.291241,32,137.982317
-43.779076,26,138.026061
-25.866167,55,138.118873
-16.705313,40,138.186956
-10.378999,44,138.260965
-45.848094,45,138.337252
-27.325455,25,138.379559
-34.577647,18,138.410124
-325.3501,343,138.99665
-0.69935,14,139.020442
-24.264534,62,139.126094
-21.166576,33,139.182348
-44.485033,42,139.253258
-79.435084,56,139.346941
-12.886745,14,139.370936
-62.390024,46,139.448728
-20.855265,14,139.472278
-5.625367,9,139.487395
-931.061189,1000,148.740632
-44.855233,54,148.831516
-55.616799,37,148.894157
-52.519423,43,148.966888
-13.682206,12,148.987144
-39.374766,39,149.053159
-68.392667,51,149.140246
-17.139949,19,149.172432
-50.248531,167,149.454821
-19.544371,14,149.47858
-27.605523,40,149.546897
-52.023198,76,149.677951
-17.171391,15,149.703339
-52.833339,105,149.879627
-948.767886,1000,157.521491
-23.655333,20,157.554826
-774.685457,1000,160.195994
-0.070825,18,160.226833
-64.693609,57,160.323159
-21.009594,19,160.355253
-7.600183,48,160.436323
-14.370177,13,160.458015
-67.558026,73,160.581171
0.619528,17,160.609489
-44.638206,29,160.659064
0.38692,17,160.687818
-893.308692,1000,163.156669
-112.172078,63,163.262876
-8.98876,15,163.28863
-5.120239,17,163.317549
-102.843089,114,169.130051
-45.699086,83,169.271116
-38.210367,33,169.327468
-77.29421,124,169.539275
-2.308517,47,169.61945
-16.160164,42,169.690752
-42.74868,49,169.774091
-59.414306,45,169.85023
-124.209709,100,170.020898
-17.960938,18,170.051428
-81.914019,71,170.173024
-5.524835,26,170.217072
-836.032425,1000,171.927367
-44.872092,106,172.106877
-17.680937,18,172.137299
-797.964277,1000,178.583208
-52.195033,42,178.653976
-9.03667,7,178.665864
-3.2198,9,178.68152
-54.887215,44,178.756051
-30.351799,80,178.889789
-18.208321,20,178.923213
-897.664179,1000,181.411957
