#{"t_start": 1787497456.50607, "env_id": "Ant-v5"}
r,l,t
-31.140354,14,1.530257
-36.584726,18,1.559514
-21.746398,16,1.58594
-34.29494,53,1.690337
-40.702628,33,1.750001
-19.134278,58,1.850092
-60.167258,91,2.006211
-71.907372,61,2.115082
-21.567866,24,2.157885
-8.185235,12,2.179741
-45.754143,58,2.277708
-58.624232,38,2.345001
-15.639602,24,2.38729
-9.784077,20,2.422789
-0.042576,38,2.487546
-74.332712,49,2.569839
-15.374738,24,2.611677
-1014.607366,1000,5.17194
-13.486914,24,5.213975
-46.734869,63,5.323907
-115.311543,82,5.465004
-82.295759,35,5.523578
-38.135083,88,5.675665
-124.016233,111,5.877836
-170.345918,152,6.62758
-1027.797242,1000,15.89916
-44.56173,42,15.969064
-25.08525,70,16.087
-29.006788,33,16.142193
-4.373491,67,16.253994
-4.529885,13,16.276182
-9.763146,15,16.301381
-1071.116956,1000,18.512917
-62.388486,49,18.596385
-24.262663,11,18.61499
-26.991308,22,18.653037
-34.178483,27,18.70105
-51.192769,40,18.78681
-32.787726,41,18.864967
-30.196789,35,18.929661
-14.935998,16,18.958426
-116.173723,67,19.076704
-30.368382,33,19.134419
-958.682567,977,28.3471
-62.308016,57,28.444929
-8.881732,31,28.501654
-130.621423,66,28.623141
-19.252548,40,28.696517
-6.052128,10,28.71516
-85.827761,55,28.817826
-29.115237,15,28.847309
-35.626792,48,28.935724
-1040.618534,1000,31.176263
-15.457139,44,31.251041
-124.628711,80,31.850231
-20.02177,33,31.904858
-142.709255,92,32.058846
-921.239831,1000,41.234259
-46.415247,23,41.277581
-4.606077,21,41.316311
-11.205628,17,41.347563
-3.898966,29,41.400618
-127.605588,94,41.573913
-66.401061,77,41.738174
-57.063641,24,41.781862
-42.254045,51,41.875597
-35.566223,63,41.990807
0.604273,15,42.017631
-63.302823,64,42.133398
-147.865479,195,42.512878
-174.704063,103,42.703895
-46.696479,35,42.768726
-21.510871,18,42.802782
-13.318657,20,42.839823
-7.152664,58,43.392017
-14.153012,20,43.428098
-59.276449,76,43.578046
-26.722452,18,43.611814
-103.405871,140,43.926926
-48.230928,30,43.999817
-35.376658,35,44.078248
-41.210711,36,44.164483
-70.93274,70,44.330141
-91.080361,52,44.436713
-1.207049,15,44.469229
-72.711737,79,44.642632
-44.809267,65,44.790422
-42.476107,25,44.847071
-38.574544,57,44.969247
-93.333837,98,54.536958
-29.876444,26,54.592166
-2.511977,21,54.63692
-13.805989,24,54.6881
-13.795157,14,54.717908
-18.808175,14,54.747217
-55.937687,80,54.917663
-69.684343,71,55.67032
-35.066166,38,55.749425
-13.670081,44,55.841877
-57.016996,67,55.984674
1.585925,13,56.012306
-48.311646,62,56.14416
-23.255839,14,56.173922
-10.501683,18,56.21216
-1013.632063,1000,58.9799
-2.068173,15,59.012596
