#{"t_start": 1787570596.9999495, "env_id": "Humanoid-v5"}
r,l,t
73.936266,17,2.647449
87.072488,19,2.681427
83.717358,19,2.715171
87.507727,20,2.749768
75.29054,17,2.793835
96.211648,21,2.86897
80.390193,18,2.907332
70.918924,16,2.941534
81.185242,18,2.975593
119.566403,27,3.027043
81.018993,18,3.060241
70.68146,16,3.090277
72.848393,17,3.121159
81.150892,18,3.153398
101.616792,23,3.193597
75.559139,17,3.224956
70.880168,16,3.253153
87.897037,19,3.287146
168.061487,37,3.353978
80.709651,18,3.38522
79.237004,18,3.416589
74.389104,17,3.446266
86.918545,19,3.480228
75.815259,17,3.510303
101.694692,23,3.550571
70.566292,16,3.579443
91.945019,22,3.620945
92.442793,20,3.656596
85.838867,19,3.689791
95.342565,21,3.727097
136.494455,30,3.782066
100.691553,24,3.825306
146.487965,35,3.887762
115.541419,25,3.932053
76.494026,17,3.961695
76.837485,18,3.994101
75.94733,17,4.02588
103.91124,23,4.067473
74.643282,17,4.097326
126.284459,29,4.147631
77.994536,18,4.17817
170.746884,36,4.241824
125.163928,28,4.291308
76.376248,17,4.320442
186.6367,42,4.396746
75.494123,17,4.427217
83.476361,19,4.462492
129.358758,28,4.513729
110.219123,24,5.594435
80.001511,18,5.625749
238.009888,51,5.723572
142.878004,30,5.781113
105.667157,23,5.82526
117.408574,25,5.874931
81.327431,18,5.915083
75.034119,17,5.951116
76.070652,17,5.983785
122.810042,26,6.034923
70.473371,16,6.064667
122.710934,27,6.114521
79.477758,18,6.148044
80.899409,18,6.181954
172.063687,40,6.258165
90.762899,20,6.293741
148.850797,31,6.351526
182.47687,40,6.422316
76.305167,17,6.45027
146.412735,31,6.505886
96.646476,22,6.544599
102.513012,22,6.583366
67.020059,16,6.61191
71.411493,16,6.641458
86.794706,19,6.674803
70.792381,16,6.703482
122.36411,26,6.74935
80.131337,18,6.7818
137.524237,33,6.843285
91.828266,21,6.880542
77.852582,18,6.914512
84.758854,19,6.94777
76.432839,17,6.977301
112.63069,28,7.026587
70.960803,16,7.054535
76.267101,17,7.083935
184.469727,42,7.158391
76.607351,17,7.18731
79.855075,19,7.219801
93.206654,21,7.256319
115.152485,29,7.309336
167.886164,39,7.381189
166.446177,39,8.015618
87.76626,19,8.048472
111.193142,27,8.099343
153.202101,40,8.172664
94.323749,21,8.209957
79.058333,18,8.241307
96.706415,21,8.279113
