#{"t_start": 1787418215.1727417, "env_id": "Walker2d-v5"}
r,l,t
-2.025335,18,6.506557
-5.746357,26,6.609157
-1.573009,10,6.650021
-3.901323,20,6.732821
-6.952311,22,6.822014
-4.445998,7,6.850572
-0.170876,19,6.929367
13.604525,40,7.089966
11.069838,30,7.209055
-0.68044,11,7.252928
-1.664395,12,7.300834
3.931326,31,7.423212
5.589631,28,7.533254
-6.384862,16,7.596054
-0.192473,22,7.682737
-1.508662,13,7.734831
-2.730357,15,7.79684
-6.701884,23,7.884912
-4.534909,7,7.911422
5.367323,17,7.976425
1.76668,16,8.036906
-5.002662,27,8.119897
6.74349,21,8.173343
-5.306275,26,8.238628
-1.565278,27,8.305036
-2.794488,21,8.357228
0.132028,13,8.388174
-1.498639,21,8.439458
0.777686,22,8.494078
-1.283366,16,8.53383
-4.172767,8,8.553656
-4.609054,16,8.59443
-1.573982,15,8.628814
11.97854,30,8.698465
4.504821,21,8.747432
2.7609,16,8.785132
-3.123912,23,8.838252
0.147049,12,8.868676
5.750902,26,8.927912
-0.680475,33,9.00311
3.643055,24,9.057727
-0.296156,27,9.117264
-3.817865,27,9.176416
-3.170564,33,9.248959
0.477158,17,9.288253
1.385682,23,9.339922
0.34661,13,9.369107
-0.221329,22,9.419132
-6.576426,7,9.435269
-3.110036,11,9.460452
-3.137148,16,9.497818
9.449569,27,10.938949
-0.21671,31,11.013745
-0.376739,22,11.06822
28.175773,40,11.157385
10.622017,35,11.234438
-4.385033,15,11.267508
-1.897437,11,11.291539
2.711424,18,11.331176
0.33138,13,11.360121
-3.154277,18,11.399224
-1.315147,28,11.460932
-2.459438,15,11.494322
-9.161002,25,11.551316
-2.273062,17,11.591499
1.795613,19,11.636548
-1.274354,10,11.659411
8.373583,31,11.730696
4.462838,37,11.814719
-2.43301,25,11.870801
-4.64477,19,11.914174
-3.067641,30,11.981862
6.078791,30,12.052577
5.719567,17,12.091957
-3.744726,20,12.137898
11.120756,47,12.244844
-0.789748,16,12.281546
-1.27368,15,12.316112
-4.284293,11,12.343145
-0.455585,19,12.38759
4.893597,21,12.435128
8.108186,24,12.488298
1.659164,20,12.533673
-9.958099,21,12.582907
2.263927,28,12.647925
17.253506,34,12.729362
-4.505524,23,12.784328
1.459273,16,12.822139
7.434854,18,12.864206
2.539969,22,12.915994
-0.393708,15,12.950309
4.040509,23,13.002087
6.323295,29,13.086247
29.403077,54,13.236364
1.046592,16,13.275872
4.970281,34,14.184743
-3.493281,13,14.206016
7.222208,28,14.252677
-3.619371,10,14.274447
-4.551223,29,14.317785
0.965628,16,14.343444
-3.442745,13,14.363974
-4.244039,10,14.378422
3.293634,22,14.411607
1.661664,13,14.431889
-4.92723,16,14.455719
-1.108377,12,14.474478
-0.412869,11,14.491813
-0.955565,11,14.506866
2.458571,18,14.531216
-10.943461,15,14.549813
40.416306,54,14.622814
19.185938,44,14.688446
15.465386,38,14.740271
26.189402,39,14.788006
-0.550805,23,15.671887
